Step,State,Action,SINR1,SINR2,SINR3,C1,C2,C3
16,[ 8.4      21.300001 26.699999],[ 0.  -0.1  0.1],-6.8029394,-4.1745677,-12.234346,0.27356157,0.46719843,0.083766595
17,[ 8.4 21.2 26.8],[ 0.  -0.1  0.1],-11.303387,-6.038869,-4.511186,0.10309231,0.3207164,0.4371219
18,[ 8.4 21.2 26.9],[0.  0.  0.1],-12.431866,-7.5679297,-3.9740043,0.08014366,0.23274443,0.4859392
19,[ 8.4 21.1 26.8],[ 0.  -0.1 -0.1],-17.562773,-5.1927567,-10.466215,0.025067898,0.38128257,0.12409133
20,[ 8.4 21.2 26.8],[0.  0.1 0. ],-11.303387,-6.038869,-4.511186,0.10309231,0.3207164,0.4371219
21,[ 8.299999 21.300001 26.9     ],[-0.1  0.1  0.1],-7.06984,-5.3216214,-10.104586,0.25863144,0.37145326,0.13437948
22,[ 8.4      21.300001 26.9     ],[0.1 0.  0. ],-8.322132,-8.62268,-4.359137,0.19806534,0.18563753,0.45049644
23,[ 8.4 21.2 26.9],[ 0.  -0.1  0. ],-12.431866,-7.5679297,-3.9740043,0.08014366,0.23274443,0.4859392
24,[ 8.4 21.1 26.8],[ 0.  -0.1 -0.1],-17.562773,-5.1927567,-10.466215,0.025067898,0.38128257,0.12409133
25,[ 8.299999 21.       26.9     ],[-0.1 -0.1  0.1],-15.696388,-9.529706,-3.784821,0.038348693,0.15242612,0.5041921
26,[ 8.199999 21.1      27.      ],[-0.1  0.1  0.1],-10.502434,-6.1913605,-12.213024,0.12310343,0.31076002,0.08416705
27,[ 8.199999 21.1      27.      ],[0. 0. 0.],-10.502434,-6.1913605,-12.213024,0.12310343,0.31076002,0.08416705
28,[ 8.199999 21.2      27.1     ],[0.  0.1 0.1],-8.493738,-12.603999,-3.3864417,0.19087723,0.077111036,0.5445026
29,[ 8.099998 21.300001 27.1     ],[-0.1  0.1  0. ],-7.886231,-8.358838,-7.828977,0.21747394,0.19650696,0.2201504
30,[ 8.199999 21.300001 27.2     ],[0.1 0.  0.1],-8.073996,-9.307301,-3.529164,0.20890649,0.1600068,0.52976507
31,[ 8.099998 21.400002 27.300001],[-0.1  0.1  0.1],-10.345951,-6.4936357,-8.945548,0.1274262,0.29183987,0.1731031
32,[ 8.099998 21.500002 27.300001],[0.  0.1 0. ],-20.789955,-4.717951,-3.159805,0.011977746,0.41948113,0.5685969
33,[ 8.199999 21.600002 27.2     ],[ 0.1  0.1 -0.1],-17.998535,-9.073238,-3.3203492,0.022693412,0.16836898,0.55144083
34,[ 8.299999 21.600002 27.1     ],[ 0.1  0.  -0.1],-19.688053,-7.745998,-3.2430243,0.015418626,0.22408369,0.5596503
35,[ 8.4      21.600002 27.1     ],[0.1 0.  0. ],-15.021442,-9.175114,-0.77900267,0.044697776,0.16467987,0.87640494
36,[ 8.4      21.500002 27.1     ],[ 0.  -0.1  0. ],-8.4279,-4.7545214,-10.278357,0.19360566,0.41642568,0.12933804
37,[ 8.5      21.500002 27.2     ],[0.1 0.  0.1],-7.310281,-16.371334,-3.9021623,0.24582222,0.03289138,0.49280426
38,[ 8.4      21.600002 27.2     ],[-0.1  0.1  0. ],-12.952419,-11.564234,-1.4103314,0.071310796,0.09728069,0.78468376
39,[ 8.4      21.700003 27.1     ],[ 0.   0.1 -0.1],-17.956497,-7.6056447,-7.5004516,0.022912467,0.2308846,0.23610619
40,[ 8.5      21.800003 27.1     ],[0.1 0.1 0. ],-15.766034,-6.720534,-4.805751,0.03774651,0.27832708,0.4121778
41,[ 8.4      21.900003 27.      ],[-0.1  0.1 -0.1],-6.231849,-11.118691,-10.033825,0.30816346,0.107408494,0.1364857
42,[ 8.299999 21.800003 27.1     ],[-0.1 -0.1  0.1],-10.289688,-5.5826397,-2.6921124,0.12901567,0.3522229,0.621063
43,[ 8.4      21.900003 27.      ],[ 0.1  0.1 -0.1],-6.231849,-11.118691,-10.033825,0.30816346,0.107408494,0.1364857
44,[ 8.5      22.000004 27.      ],[0.1 0.1 0. ],-7.8945866,-8.781736,-4.2091274,0.2170859,0.1793597,0.46403167
45,[ 8.5      21.900003 27.1     ],[ 0.1 -0.1  0.1],-10.47734,-7.210863,-2.9016695,0.12378704,0.25104648,0.59709185
46,[ 8.5      22.000004 27.2     ],[0.1 0.1 0.1],-6.951462,-9.067601,-8.210415,0.26515916,0.16857542,0.20287979
47,[ 8.4      21.900003 27.2     ],[-0.1 -0.1  0. ],-9.410698,-6.31213,-3.5445955,0.15643911,0.30307236,0.5281915
48,[ 8.5      22.000004 27.2     ],[0.1 0.1 0. ],-6.951462,-9.067601,-8.210415,0.26515916,0.16857542,0.20287979
